Semester,Year,School,Area,Next School,Next Area
Spring/Fall,2015,Engineering,Architectural Eng,Engineering,Architectural Eng
Spring/Fall,2015,Engineering,ATLAS,Engineering,ATLAS
Spring/Fall,2015,Engineering,Chemical Eng,Engineering,Chem and Bio Eng
Spring/Fall,2015,Engineering,Civil Engineering,Engineering,Civil Engineering
Spring/Fall,2015,Engineering,Computer Science,Engineering,Computer Science
Spring/Fall,2015,Engineering,Elect and Comp Eng,Engineering,Elect and Comp Eng
Spring/Fall,2015,Engineering,Engineering Honors,Engineering,Engineering Honors
Spring/Fall,2015,Engineering,Engineering Management,Engineering,Engineering Management
Fall,2015,Engineering,Environmental Engineering,Engineering,Environmental Engineering
Spring/Fall,2015,Engineering,General Engineering,Engineering,General Engineering
Spring/Fall,2015,Engineering,Humanities for Engineers,Engineering,Humanities for Engineers
Spring/Fall,2015,Engineering,Mechanical Eng,Engineering,Mechanical Eng
Spring/Fall,2015,Engineering,Telecommunications,Engineering,Telecommunications
Spring/Fall,2015,Info,"Ads, PR and Media Design",Info,"Ads, PR and Media Design"
Spring/Fall,2015,Info,Communication,Info,Communication
Spring/Fall,2015,Info,Critical Media Practices,Info,Critical Media Practices
Spring/Fall,2015,Info,Journalism,Info,Journalism
Spring/Fall,2015,Info,Media Studies,Info,Media Studies
Spring/Fall,2015,Info,"Media, Comm, and Info",Info,"Media, Comm, and Info"
Spring/Fall,2015,Info,"PHD Intermedia",Info,"PHD Intermedia"
Spring/Fall,2015,Music,Convocation Music,,
Spring/Fall,2015,Music,Music,Music,Music
Spring/Fall,2015,Music,Music Electives,Music,Music Electives
Spring/Fall,2015,Music,Music Ensembles,Music,Music Ensembles
Spring/Fall,2015,Music,Performance Music,Music,Performance Music
Spring/Fall,2015,Music,Thesis Music,Music,Thesis Music
Spring/Fall,2015,Other,Air Force Aerospace Studies,Other,Air Force Aerospace Studies
Spring/Fall,2015,Other,Military Science,Other,Military Science
Spring/Fall,2015,Other,Naval Science,Other,Naval Science
Spring,2015,Other,Renewable/Sustainable Energy Institute,,
Spring/Fall,2015,Other,Student Leadership Institute,Other,Student Leadership Institute
Spring/Fall,2020,A&S,Anthropology,,
Spring/Fall,2020,A&S,Applied Mathematics,,
Spring/Fall,2020,A&S,Arabic Languages,,
Spring/Fall,2020,A&S,Art Film Studies,,
Spring/Fall,2020,A&S,Art History,,
Spring/Fall,2020,A&S,Art Studio and Non-Studio,,
Spring/Fall,2020,A&S,A&S Special Courses,,
Spring/Fall,2020,A&S,Asian Studies,,
Spring/Fall,2020,A&S,Astroph & Planet Sci Sciences,,
Spring/Fall,2020,A&S,Atmospheric & Oceanic Sciences,,
Fall,2020,A&S,Baker RAP,,
Fall,2020,A&S,Biochemistry,,
Spring/Fall,2020,A&S,Center for the American West,,
Spring/Fall,2020,A&S,Center for Western Civilization,,
Spring,2020,A&S,Central & East European Study,,
Fall,2020,A&S,Chemistry,,
Spring,2020,A&S,Chemistry & Biochemistry,,
Spring/Fall,2020,A&S,Chinese,,
Spring/Fall,2020,A&S,Classical Greek Language,,
Spring/Fall,2020,A&S,Classics,,
Spring/Fall,2020,A&S,Dance,,
Spring/Fall,2020,A&S,Ecology & Evolutionary Biology,,
Spring/Fall,2020,A&S,Economics,,
Spring/Fall,2020,A&S,English,,
Fall,2020,A&S,English as a Second Language,,
Spring/Fall,2020,A&S,Environmenal Studies,,
Spring/Fall,2020,A&S,Ethnic Studies,,
Spring/Fall,2020,A&S,Farrand RAP,,
Spring/Fall,2020,A&S,French,,
Spring/Fall,2020,A&S,Geography,,
Spring/Fall,2020,A&S,Geological Sciences,,
Spring/Fall,2020,A&S,German,,
Spring/Fall,2020,A&S,Germ & Slavic Lang & Lit,,
Spring/Fall,2020,A&S,Hebrew,,
Spring/Fall,2020,A&S,Hindi,,
Spring/Fall,2020,A&S,History,,
Spring/Fall,2020,A&S,Honors,,
Spring/Fall,2020,A&S,Humanities,,
Spring/Fall,2020,A&S,Indonesian,,
Spring/Fall,2020,A&S,Integrative Physiology,,
Spring/Fall,2020,A&S,International Affairs,,
Spring/Fall,2020,A&S,Italian,,
Spring/Fall,2020,A&S,Japanese,,
Spring/Fall,2020,A&S,Jewish Studies,,
Spring/Fall,2020,A&S,Korean,,
Spring/Fall,2020,A&S,Language Technology,,
Fall,2020,A&S,Latin American Stud,,
Spring/Fall,2020,A&S,LGBT Studies,,
Spring/Fall,2020,A&S,Libby RAP,,
Spring/Fall,2020,A&S,Linguistics,,
Spring/Fall,2020,A&S,Mathematics,,
Spring/Fall,2020,A&S,"Mole Cell Dev Biology",,
Spring/Fall,2020,A&S,Museum,,
Spring/Fall,2020,A&S,Neuroscience,,
Spring/Fall,2020,A&S,Peace and Conflict Studies,,
Spring/Fall,2020,A&S,Philosophy,,
Spring/Fall,2020,A&S,Physics,,
Spring/Fall,2020,A&S,Political Science,,
Spring/Fall,2020,A&S,Portuguese,,
Spring/Fall,2020,A&S,Psychology,,
Spring/Fall,2020,A&S,Religious Studies,,
Spring/Fall,2020,A&S,Russian,,
Spring/Fall,2020,A&S,Scandinavian,,
Spring/Fall,2020,A&S,Sociology,,
Spring/Fall,2020,A&S,Spanish,,
Spring/Fall,2020,A&S,"Speech, Lang, and Hear Sci",,
Fall,2020,A&S,Sust & Soc Innov RAP,,
Fall,2020,A&S,Sweedish,,
Spring/Fall,2020,A&S,Theatre,,
Spring/Fall,2020,A&S,Writing & Rhetoric,,
Spring/Fall,2020,Architecture,Architecture,,
Spring/Fall,2020,Architecture,Environmental Design,,
Spring/Fall,2020,Business,Accounting,,
Spring/Fall,2020,Business,Business Administration,,
Spring/Fall,2020,Business,Business Core,,
Spring,2020,Business,Business Environment and Policy,,
Spring/Fall,2020,Business,Business Law,,
Spring/Fall,2020,Business,Social Responsibility,,
Spring/Fall,2020,Business,Entrep & Small Biz Mngmt,,
Spring/Fall,2020,Business,Finance,,
Spring/Fall,2020,Business,International Biz Cert,,
Spring/Fall,2020,Business,Management,,
Spring/Fall,2020,Business,Marketing,,
Spring/Fall,2020,Business,MBA Advanced Electives,,
Spring/Fall,2020,Business,MBA Core,,
Fall,2020,Business,MS Business Core,,
Spring/Fall,2020,Business,MS Business Electives,,
Spring/Fall,2020,Business,Ops and Info Management,,
Spring,2020,Business,Organization Management,,
Spring/Fall,2020,Business,Real Estate,,
Spring/Fall,2020,Education,Education,,
Spring/Fall,2020,Education,Leadership Minor,,
Spring/Fall,2020,Engineering,Aerospace Eng,,
Spring/Fall,2020,Engineering,Architectural Eng,,
Spring/Fall,2020,Engineering,ATLAS,,
Spring/Fall,2020,Engineering,Chem and Bio Eng,,
Spring/Fall,2020,Engineering,Civil Engineering,,
Spring/Fall,2020,Engineering,Computer Science,,
Spring/Fall,2020,Engineering,Elect and Comp Eng,,
Spring/Fall,2020,Engineering,Engineering Honors,,
Spring/Fall,2020,Engineering,Engineering Management,,
Spring/Fall,2020,Engineering,Environmental Engineering,,
Spring/Fall,2020,Engineering,General Engineering,,
Spring,2020,Engineering,Humanities for Engineers,,
Spring/Fall,2020,Engineering,Mechanical Eng,,
Spring,2020,Engineering,Telecommunications,,
Spring/Fall,2020,Info,"Ads, PR and Media Design",,
Spring/Fall,2020,Info,Communication,,
Spring/Fall,2020,Info,Critical Media Practices,,
Spring/Fall,2020,Info,Information Science,,
Spring/Fall,2020,Info,Journalism,,
Spring/Fall,2020,Info,Media Studies,,
Spring/Fall,2020,Info,"Media, Comm, and Info",,
Spring/Fall,2020,Info,"PHD Intermedia",,
Spring/Fall,2020,Music,Music,,
Spring/Fall,2020,Music,Music Electives,,
Spring/Fall,2020,Music,Music Ensembles,,
Spring/Fall,2020,Music,Performance Music,,
Spring/Fall,2020,Music,Thesis Music,,
Spring/Fall,2020,Other,Air Force Aerospace Studies,,
Spring/Fall,2020,Other,Military Science,,
Spring/Fall,2020,Other,Naval Science,,
Spring/Fall,2020,Other,Student Leadership Institute,,
